user_name,viewer_id,team_level,total_power,arena_group,arena_rank,grand_arena_group,grand_arena_rank,clan_name
"""t513.^""",1011597688361,124,903071,1,234,6,448,"""拉比 直接开摆！"""
"""柚子""",1043672209984,124,860946,1,139,17,97,"""拉比 直接开摆！"""
"""小麻 丶群简介""",1057846443568,124,705210,18,301,17,88,"""拉比 直接开摆！"""
"""星辰""",1086948113953,124,950203,17,109,11,144,"""拉比 直接开摆！"""
"""君丶佑（简）""",1094494968375,124,973981,7,157,4,358,"""拉比 直接开摆！"""
"""影子(简介)^""",1102545272391,124,1094939,11,448,3,811,"""拉比 直接开摆！"""
"""零氪""",1110225681972,124,937863,4,15,1,60,"""拉比 直接开摆！"""
"""二年F班 裴 """,1118919441968,124,1063419,13,5,15,2,"""拉比 直接开摆！"""
"""叶氏（咸鱼）""",1163272568304,124,1162910,7,23,4,15,"""拉比 直接开摆！"""
"""大仙是神""",1167664299550,124,823688,5,552,11,709,"""拉比 直接开摆！"""
"""饭饭*""",1170745694745,124,1048358,2,5,13,19,"""拉比 直接开摆！"""
"""篝火（pjjc挖矿）""",1176109022714,124,847982,1,115,7,150,"""拉比 直接开摆！"""
"""纯吾""",1177452101121,124,958520,19,302,2,240,"""拉比 直接开摆！"""
"""齐齐是可怜的吃井人""",1185108344316,124,873746,10,143,6,128,"""拉比 直接开摆！"""
"""全彩(总有儍叉爱击剑""",1227312299598,124,916275,11,29,3,191,"""拉比 直接开摆！"""
"""魷魚絲（挖矿求放过）""",1242267205185,124,959463,6,66,1,79,"""拉比 直接开摆！"""
"""那位""",1247482616359,124,936492,17,267,3,575,"""拉比 直接开摆！"""
"""伶梦^""",1256735480367,124,857366,11,201,3,353,"""拉比 直接开摆！"""
"""西柳X""",1259530206749,124,937425,4,95,2,120,"""拉比 直接开摆！"""
"""学徒^""",1274070161959,124,892530,15,43,6,40,"""拉比 直接开摆！"""
"""无语""",1281803409998,124,853577,8,691,10,403,"""拉比 直接开摆！"""
"""芜湖老妖怪""",1281988984395,124,922585,15,83,3,366,"""拉比 直接开摆！"""
"""千千酱""",1291163614779,124,942017,17,99,3,212,"""拉比 直接开摆！"""
"""星辰酱i(简介)""",1296447864365,124,818813,5,497,7,422,"""拉比 直接开摆！"""
"""lzc^""",1306687429191,124,881398,12,2,7,5,"""拉比 直接开摆！"""
"""Yotsuba丶""",1340871851506,124,823693,17,3,11,21,"""拉比 直接开摆！"""
"""潇洒""",1346178219555,124,897200,9,90,9,32,"""拉比 直接开摆！"""
"""梦中呓（带剑客""",1360984005140,124,978588,6,25,5,62,"""拉比 直接开摆！"""
"""Ver`吕玲绮＊""",1399394680340,124,888044,2,9,9,10,"""拉比 直接开摆！"""
"""YuKiKaZe""",1405385464328,124,1056466,4,285,1,216,"""拉比 直接开摆！"""